ticker,shares
GERN,187311165
PBF,124894146
CNMD,28436260
MBII,112484448
HUN,236861534
BSD,7629333
VLO,424510877
CRSP,54800857
SLM,436464991
CCBG,17136586
TACO,37738193
UFS,64002157
COOP,95385940
FOR,42146266
CSGP,37262829
DAR,165854836
GIB,253734243
FLOW,43914429
ALLY,407544944
SIVB,54189063
CXH,9324592
SMG,57904923
MCRI,18791346
DFS,326821412
NMI,8757947
OMAB,44589750
BMRN,182680295
JRJC,24632010
FWONA,26107773
LQDA,19260422
DATA,77342876
CTRL,26821072
TOL,144055322
AMZN,504802114
BRY,84904157
IRBT,29336873
AVYA,112960147
CHN,16102775
CRH,842211978
KKR,552866779
BKU,103168001
MRK,2697792352
SR,51007008
ALJJ,39706988
SMED,16300299
ZVO,31289129
MCHP,241295077
PFLT,39260959
JMP,22053316
INSW,30187744
CCNI,4679989
IPHI,45559752
GLMD,21579585
BHC,362436036
UNVR,171030718
BWA,208951035
FPL,25850860
OLP,20524444
CECO,71646318
HIHO,3867816
CDK,123703987
INFI,57626398
BMTC,20865455
DIS,1853228583
MCO,197794614
MS,1757480522
ALKS,158393742
M,308968333
ANDE,33509927
RRC,252456367
NTG,64119653
CART,9492322
PYPL,1176744452
MFAC,17063984
CBAY,69696672
SBT,53218759
STXB,14186789
SYRS,33962633
UIHC,45211146
NUVA,52552299
ULBI,15783086
CLX,132275837
BGCP,302631634
ROG,19148339
VZ,4316037588
CHNG,312321218
APAM,56757017
PRVB,37775573
TYL,39911522
NWL,434521093
Y,14518591
KEX,60504845
CRUS,59764976
TME,311863701
MRC,87206537
HMC,1828268117
DELL,179402433
SSW,225951056
HNGR,38791017
CADE,130118618
AAWW,26487817
GTES,293453822
ABR,97270751
ESTR,47820195
AUPH,94230674
MFV,7425623
TWST,28428431
JPM,3315881857
PDM,131175366
MHD,14610275
B,53767463
IP,414110438
SFUN,338960969
BP,3457065241
CPT,101264310
UHT,14348278
ROIC,114463329
HNRG,31062206
SGA,5090809
GAIA,12748009
SGMA,4340506
BRO,289332924
ACRS,43264457
OBSV,45129134
MRBK,6511303
TRNO,63517753
BCOR,49599896
NEOS,50492576
ZIOP,162654918
NKSH,6782266
HELE,26216771
MLNT,11920443
PKX,333484975
VIV,1163587049
SUPV,81934480
TGTX,92085589
BPFH,84703184
WAFU,4504894
MFSF,8917813
IMV,52157812
COLB,75445378
OVLY,8244709
GTLS,32000106
CAE,275829744
PPDF,173292155
TNAV,46682628
USAU,20586364
EBIX,30788370
VERI,20550712
PCB,16494381
YORW,13436315
WBC,52898226
LMST,6432720
LAD,22706668
DPG,37974276
DOX,143369125
ROLL,25609510
EBS,52466789
ELSE,3515589
NEWM,63196826
KEP,1312005680
FRA,37252421
RCUS,45996845
AIMC,64688164
EQT,256031441
GLPG,56544059
OXBR,5949164
GRA,70066108
GSIT,22937812
CTS,34277558
RMBS,113705601
ALDX,28160344
MSFT,7784299254
NTWK,12073029
FSCT,47289387
WTFC,56730103
UNFI,53740634
MTRX,27580872
KOS,411110485
ARW,87786334
CEE,6796348
TRGP,234714257
JCS,9659867
MTSC,18087613
MYN,40515425
MTBC,12169891
MD,86681035
PDI,58839727
GPX,16848428
IDYA,20255000
SPOT,180415134
SEMG,83377809
RLGY,119436270
LINX,165175823
PLUG,232474816
KMDA,41799766
DOGZ,16948675
CNDT,212297133
FULT,173482777
LPX,125568466
AMT,446055000
NE,261398239
ZEUS,11267638
VALE,5283696232
CBLK,72867905
BYD,115243714
SELB,44938660
IDA,50495549
DISCK,374388923
HZO,23042716
CLVS,54835596
TRCH,72507693
ANH,100345204
SU,1592793388
HCA,351568033
LEA,63133875
IMXI,39367585
BAC,9574218307
MDSO,63760752
EDU,165667679
MTB,138683361
ARTW,4316439
ENR,71950206
EV,115726296
ATEC,48778471
MBI,92442694
HALL,18405259
BSGM,21720024
SONO,106500721
GGAL,115285399
CINF,167658165
AIV,155000619
TEVA,1099390168
REFR,32146440
GPRO,124007734
SNPS,154297218
SCCO,807929947
SD,37056497
OMEX,9507164
ATNI,16383773
DDF,7995207
ALLE,94499161
HOMB,169221928
FSBC,1943078
DOMO,24435190
TUSK,44939524
JWN,157735718
GATX,37557972
BTI,2321890350
AVY,84439485
NYCB,475189733
KALV,17737474
BLNK,27008746
BDC,41011994
SDRL,100613784
MCRB,70035085
RRD,73425781
TALO,56672058
AKR,84494302
BY,37032369
HOV,5521724
AUDC,28598489
AKCA,97386129
NAD,204560829
CLPS,14480418
XBIO,901086
XSPA,2033836
CVET,116677918
COTY,760639256
BGS,65593637
TPH,147060785
SEE,157072131
PPC,254043975
NID,47586760
JNCE,33939013
SHBI,13226515
AON,241926399
GNRC,64050917
WAB,97113097
GEVO,12043966
ENB,2084272062
GOLD,1786728171
LBRDA,27462585
APY,78226345
EOLS,27936471
WMGI,130558988
WWW,91768370
HON,742621464
FFNW,10468229
SRG,37463367
OII,101945689
PCTY,54820400
GILT,56420193
DVD,18646242
IOVA,125590493
NBEV,76906979
SATS,49043921
UBCP,6012233
HEI,54956167
GOGL,144447472
DFRG,34731923
DTEA,26195729
TD,1893390196
HMHC,125374354
WSM,79451077
ACIA,42213272
RAMP,71130878
HIW,104796117
ZBRA,56154808
ACHV,7135485
CUB,32695479
SE,306882416
CNXN,26658764
CREX,10153874
PBR,3888548909
POLA,10219607
DOC,189200973
VCEL,44087757
VAC,46805748
BIDU,281566182
ALSN,126010065
PLT,39630779
MEN,30358322
ZLAB,60466654
TMDI,22508902
BOH,42466948
PRPL,10205018
JCAP,22681196
EZPW,54112574
FGEN,89025274
LWAY,16278378
BBIO,126798884
OASM,76251177
MBOT,4445495
DBVT,73143364
OI,157287381
NVEE,13125381
CCOI,46506039
ESQ,7895023
UTHR,43921785
HLIO,32823606
ETB,26887914
CHK,1713003102
INTU,262323224
GRIF,5078222
IPI,131375534
HTA,209339984
OSS,14665604
MDWD,27666571
BSIG,92147345
FSTR,10633894
FTNT,171975772
UBSI,105943793
SOGO,114661776
QDEL,41431837
AAT,50286358
KR,804510742
AXTI,40881751
AEG,2082479855
BHTG,15437354
DERM,56166674
TYME,115685203
FCEL,28266806
TNDM,58241414
DFBH,32189172
NSA,58260747
THOR,33743854
ICCH,3312198
ZG,58599202
SPXC,45397476
ALC,492814739
NVUS,13080508
AXSM,33992694
WLTW,129536943
OZM,20768988
FDEF,20139071
BOKF,73863192
CGC,361546240
CHMA,24558895
PLOW,23323830
CHFC,73851634
SCSC,26288530
ARE,116004201
CLNC,132166526
OXLC,44199162
PDLB,18726579
WTS,29034847
SNV,161472060
UMBF,49368483
PULM,8034975
TV,595937132
EVLO,32257390
CBRE,340231112
HSII,19515565
RDFN,92760323
BBDO,4054212388
TCF,166158658
ROK,119787530
BNS,1277437673
DFFN,4846677
NCNA,32278770
CEM,72968583
CMC,118680107
GRTS,30397214
AKS,320228763
CNO,167680156
ANCN,5855373
LPTH,26707693
CLGX,81579417
TAL,382035825
NVGS,57442106
WSO.B,5587176
CRY,38158619
DLHC,12512546
RGLS,20889298
LASR,38418440
ARES,105085304
OBAS,5281384
SXC,66924777
SAIC,62098857
SUZ,698649025
YRCW,36083349
WP,311944472
DK,78022239
OLN,166222781
WMT,2934131091
MSCI,87202832
NYNY,34528225
PCG,531987218
HZN,25717490
SVA,60687242
UCBI,82331252
LBRDK,158674371
HOLX,279347179
NSEC,2570621
GTS,22776160
BEN,529125862
DSX,102693222
VRS,35102311
INTL,19626421
RMD,146200909
ASFI,6693596
GWRE,83482391
BCRH,8925978
EVK,14988133
WERN,71115871
RMBL,22784775
CIFS,22417237
SONA,25233698
TXMD,243327258
TUES,48823030
VRNT,67405256
CTK,58951041
WTM,3223422
SBGL,677641663
MATW,32584385
WFC,4709349383
VRTX,262040681
CLS,122913964
SLG,87538719
AZO,24841124
MGEE,35136448
SURF,28411432
ALX,5258872
NRZ,419828822
NI,379560033
VVV,193594621
AHT,102815807
RP,94731662
ADM,584489781
IIPR,10068371
MQY,32207460
AVCO,79007040
ICCC,7378471
CTAS,105216130
AFMD,65460528
TARO,38549688
BRAC,18475285
ARGX,38065817
AOS,145798881
CPE,230503607
CCCL,6134955
MHO,28692977
CIG.C,502615559
EVGN,26598749
JW.A,50007719
TXT,237990317
SCL,23471584
CVE,1241491913
RC,32712438
AIRG,10272661
TSC,30349936
TZAC,8452910
BRC,50458641
WGO,32734001
PTEN,212472129
AXTA,244377639
SB,105424813
ATNX,79859184
CSV,18256719
DOVA,28883822
EGRX,15048288
HEI.A,83139298
LEN,289973050
SCI,183328642
FBK,31298260
GTYH,22014724
LPLA,87158811
RUTH,31220250
DISCA,159142667
DNKN,83144383
HOLI,60995023
CCU,186859696
INWK,52361920
ESXB,22618533
SFBC,2606941
WAFD,83027666
DNR,469772067
ERA,22762735
VIPS,588134809
CAMP,35051941
ORIT,46885764
IVAC,23566624
CLPR,18457675
DCI,129887992
IHC,15450632
ARPO,42431378
BCYC,18172281
REGN,110065224
GCAP,46474404
RDVT,10303662
BASI,10367316
MDCO,77743858
AGRX,45524795
SXTC,23233694
THC,105633547
BRSS,22937941
LAZ,130106922
HES,317216387
AYTU,17003414
TPTX,32465089
DOW,782204105
RCM,114063786
PFSI,78987153
MANH,66198316
AUTO,13562325
SCPH,18709513
ENSG,53937631
SJR,501098007
NTES,134135658
WPX,423137069
WWD,63076676
QTWO,48130349
IKNX,2003103
STX,282833714
TMO,413374333
AEZS,16612699
CHU,3208736816
ORMP,17683391
HTLD,83223132
VAPO,17396060
SNNA,31336807
NXRT,23879361
RUBY,81776439
PDLI,123162013
TCO,64154600
CRIS,33889299
FSD,35506903
FSB,14794048
LMFA,3158083
BBDC,51262171
AAC,25658223
APA,378474248
FWONK,210022457
THS,57607799
IROQ,3717068
GPS,389023134
LTHM,147375309
MRLN,12483926
EMR,624512879
CSCO,4346399901
CWEN.A,35353667
AOSL,24742579
ZTS,490520746
ST,168253003
DSSI,41275034
MTN,40976575
BRT,16237816
BMRA,9867923
JBSS,9064024
TMSR,21875167
CRI,45666854
BRPM,15263338
RYAAY,237747967
QTS,57070031
MGI,58479111
GNMK,59399627
KEN,53995216
EPSN,27810380
ACA,48984743
CNOB,35784657
POWL,11663851
OLLI,65138018
BOSC,3958056
OVID,38901341
CTXR,22411636
SYF,694238072
ARKR,3646720
KOOL,2428181
IDCC,32674155
IBA,52326515
BWFG,8215029
LTXB,48916977
TWNK,113965532
SBOW,12228660
GEC,25773010
FRAF,4552710
AKO.A,80548491
AMTD,574977231
FTI,449424184
OCFC,53201290
AEL,93986665
ISNS,5336075
IDSY,19097361
VICL,22934995
COCP,33080278
PMT,79758033
TCPC,58964476
HOPE,129904105
SILK,30978956
VTR,373328816
FWP,49732589
KAI,11514499
AGIO,59647832
BCBP,16542869
HRI,29449721
ENIA,1149148765
NAV,102287711
WCG,51529540
WEI,36941737
CTR,38952318
BKCC,70123974
INFY,4515944185
IRL,5143845
DGICB,5734063
HFC,174311923
HOG,161328530
STT,381963229
HTLF,37526728
DCIX,27916060
ALNA,21470798
OSPN,41777971
ALCO,7513908
LOGC,23513616
FHL,44496239
CXE,31990216
ADS,53342323
MGEN,31049029
CHCI,3774407
TIGR,115900721
UNTY,11329345
SWK,158585397
YEXT,115150143
GLUU,145709391
EA,307218689
SRI,28837948
NSTG,35917225
DY,31639571
TDOC,73910764
JCP,332416906
